startTime,span,avg,k,stdTime,stdTemperature,label
2019-11-13 14:33:07,33,814.6176470588238,-0.010542398777687981,30,815,1
2019-11-06 18:35:07,32,813.6363636363636,0.05915775401068311,30,815,1
2019-11-14 09:42:07,35,814.3611111111117,0.1033462033462062,30,815,1
2019-11-05 18:35:07,34,813.3714285714284,0.16526610644256878,30,815,1
2019-11-06 04:58:07,24,814.1999999999999,-0.04615384615384969,30,815,1
2019-11-03 21:23:07,35,812.5555555555555,0.3124839124839155,30,815,1
2019-11-04 22:15:07,38,813.2051282051284,0.23846153846153223,30,815,1
2019-11-12 01:28:07,52,814.735849056604,0.03926786002259179,30,815,1
2019-11-13 15:17:07,10,818.9999999999995,4.802322394517264e-14,30,815,0
2019-11-13 15:11:07,5,814.8333333333344,0.14285714285714476,30,815,0
2019-11-14 10:22:07,6,813.0,-2.6412647373613954e-14,30,815,0
2019-11-13 14:27:07,5,808.5000000000018,0.42857142857182107,30,815,0
2019-11-06 04:52:07,5,807.8333333333335,0.14285714285709392,30,815,0
2019-11-14 10:28:07,1,815.5,5.000000000002129,30,815,0
2019-11-13 15:16:07,1,817.0000000000073,3.9999999999900506,30,815,0
2019-11-13 15:27:07,1,816.5000000000291,-5.000000000006202,30,815,0
2019-11-06 19:10:07,1,808.0000000000001,-2.8391292406045136e-14,30,815,0
2019-11-03 22:01:07,1,807.9999999999999,5.380497229529426e-14,30,815,0
2019-11-18 16:36:07,1,812.4999999999272,-4.999999999984664,30,815,0
2019-11-13 14:32:07,1,811.0000000000218,3.9999999999830442,30,815,0
2019-11-04 22:54:07,1,806.9999999999999,1.268578477889467e-13,30,815,0
2019-11-06 05:23:07,5,803.0000000000009,-0.6857142857143236,30,815,0
2019-11-13 15:07:07,3,803.0,2.253904256908104e-14,30,815,0
2019-11-14 09:36:07,1,805.0,-1.4848822307500121e-13,30,815,0
2019-11-06 04:57:07,1,811.5000000000146,6.999999999988846,30,815,0
2019-11-14 10:18:07,3,802.0000000000002,-2.4167059586198552e-14,30,815,0
2019-11-14 09:40:07,1,804.0,1.236380208623246e-13,30,815,0
2019-11-13 14:20:07,1,810.9999999999709,-7.999999999975486,30,815,0
2019-11-04 22:53:07,1,810.9999999999964,-8.000000000006471,30,815,0
2019-11-03 21:59:07,2,804.3333333333337,3.5000000000002047,30,815,0
2019-11-06 19:08:07,2,803.9999999999982,3.4999999999978355,30,815,0
2019-11-12 01:27:07,1,800.9999999999998,4.306829748556863e-15,30,815,0
2019-11-05 19:10:07,1,803.0000000000009,-2.000000000001469,30,815,0
2019-11-06 05:22:07,1,809.5000000000291,-9.000000000019217,30,815,0
2019-11-14 09:41:07,1,807.4999999999854,6.999999999981529,30,815,0
2019-11-12 02:24:07,2,806.0,6.500000000011166,30,815,0
2019-11-14 09:35:07,1,810.0000000000291,-10.000000000012479,30,815,0
2019-11-04 22:55:07,1,804.4999999999982,-4.9999999999995834,30,815,0
2019-11-14 09:38:07,1,798.9999999999999,-1.434499962061001e-13,30,815,0
2019-11-05 19:09:07,1,808.9999999999927,-9.999999999994884,30,815,0
2019-11-13 14:24:07,2,797.0000000000002,-8.500759970745453e-14,30,815,0
2019-11-13 15:10:07,1,808.5,10.999999999924356,30,815,0
2019-11-13 15:06:07,1,808.4999999999418,-10.999999999957524,30,815,0
2019-11-14 10:21:07,1,807.5000000000582,10.999999999941403,30,815,0
2019-11-14 09:39:07,1,801.5000000000146,4.999999999994529,30,815,0
2019-11-17 16:38:07,16,780.9999999999999,4.934205895903799e-15,30,815,0
2019-11-14 09:37:07,1,802.0,-6.000000000042205,30,815,0
2019-11-14 10:17:07,1,808.4999999999127,-12.999999999998586,30,815,0
2019-11-06 05:28:07,1,809.0000000000146,13.99999999998172,30,815,0
2019-11-06 18:30:07,4,793.8000000000047,2.200000000000081,30,815,0
2019-11-03 21:58:07,1,807.4999999999973,-12.99999999999779,30,815,0
2019-11-12 01:25:07,1,795.4999999999964,-0.9999999999992313,30,815,0
2019-11-06 19:07:07,1,807.4999999999709,-12.999999999976717,30,815,0
2019-11-06 18:34:07,1,801.4999999999964,7.0000000000053815,30,815,0
2019-11-05 18:32:07,3,796.5000000000073,4.599999999999181,30,815,0
2019-11-12 02:22:07,2,795.6666666667006,3.499999999998759,30,815,0
2019-11-13 14:26:07,1,801.5000000000146,8.999999999956955,30,815,0
2019-11-04 22:13:07,2,793.0000000000009,1.5000000000001132,30,815,0
2019-11-17 19:57:07,1,807.5,15.000000000057687,30,815,0
2019-11-12 02:21:07,1,791.9999999999998,5.93855132070392e-14,30,815,0
2019-11-12 01:26:07,1,797.9999999999854,5.9999999999907185,30,815,0
2019-11-03 21:22:07,1,794.0000000000005,-4.000000000000345,30,815,0
2019-11-06 04:47:07,4,786.9999999999998,-1.7414589440670666e-14,30,815,0
2019-11-05 18:31:07,1,790.4999999999982,-2.9999999999998654,30,815,0
2019-11-12 01:24:07,1,805.0,-18.000000000003272,30,815,0
2019-11-03 21:21:07,1,805.4999999999964,-19.00000000000003,30,815,0
2019-11-17 01:59:07,46,773.0000000000003,-3.1726651900367653e-15,30,815,0
2019-11-06 18:29:07,1,791.0000000000036,-6.000000000001001,30,815,0
2019-11-06 04:46:07,1,788.9999999999909,-3.9999999999912776,30,815,0
2019-11-13 14:22:07,1,787.0,2.000000000001651,30,815,0
2019-11-06 18:28:07,1,804.5000000000582,-21.00000000002972,30,815,0
2019-11-13 14:23:07,1,792.4999999999854,9.00000000004804,30,815,0
2019-11-05 18:30:07,1,802.4999999999854,-20.999999999978606,30,815,0
